(674, reading_stdin, Write) 
(674, .str.25, Write) 
(419, bpout, Write) 
(420, bpout, Write) 
(164, n_read, Write) 
(677, have_read_stdin, Write) 
(678, input_desc, Write) 
(167, .str.26, Write) 
(424, bpout, Write) 
(425, bpout, Write) 
(684, input_desc, Write) 
(429, bpout, Write) 
(687, .str.26, Write) 
(432, bpout, Write) 
(688, ok, Write) 
(433, bpout, Write) 
(693, stat_buf, Write) 
(438, bpout, Write) 
(439, bpout, Write) 
(695, .str.26, Write) 
(696, ok, Write) 
(444, bpout, Write) 
(701, insize, Write) 
(701, stat_buf, Write) 
(190, n_write, Write) 
(447, newlines, Write) 
(452, bpout, Write) 
(453, bpout, Write) 
(456, ch, Write) 
(456, bpin, Write) 
(712, out_flags, Write) 
(713, exhausting, Write) 
(716, in_pos, Write) 
(718, exhausting, Write) 
(466, bpout, Write) 
(722, .str.27, Write) 
(467, bpout, Write) 
(723, ok, Write) 
(474, pending_cr, Write) 
(477, bpout, Write) 
(478, bpout, Write) 
(224, newlines, Write) 
(482, bpout, Write) 
(738, copy_cat_status, Write) 
(229, use_fionread, Write) 
(486, newlines, Write) 
(742, inbuf, Write) 
(743, ok, Write) 
(743, saved_errno, Write) 
(490, ch, Write) 
(490, bpin, Write) 
(747, insize, Write) 
(747, .str.48, Write) 
(748, inbuf, Write) 
(237, eob, Write) 
(749, ok, Write) 
(240, bpin, Write) 
(243, bpout, Write) 
(755, inbuf, Write) 
(506, copy_max, Write) 
(253, wp, Write) 
